offer_id,clicked_at
811785210,2021-03-29 00:39:10
811833256,2021-03-29 05:39:38
811842016,2021-03-29 05:32:45
811859173,2021-03-29 09:46:03
811872794,2021-03-29 12:41:23
811943448,2021-03-29 16:39:11
811954756,2021-03-29 16:56:49
811967050,2021-03-29 17:34:31
811968562,2021-03-31 20:20:36
811984166,2021-03-29 18:46:34
812062577,2021-03-29 22:03:46
812077395,2021-03-29 22:34:54
812077718,2021-03-29 22:38:41
812106780,2021-03-30 00:40:22
812132361,2021-03-30 02:36:51
812139932,2021-03-30 02:25:31
812146938,2021-03-30 03:49:36
812178407,2021-03-30 07:42:28
812214080,2021-04-12 11:32:00
812316073,2021-03-30 17:06:06
812321397,2021-03-30 17:32:46
812365883,2021-03-30 20:36:09
812381737,2021-03-30 21:42:55
812386503,2021-03-30 21:45:15
812449932,2021-03-31 02:33:41
812474764,2021-03-31 04:47:03
812475850,2021-03-31 04:35:16
812489463,2021-03-31 06:33:32
812581472,2021-03-31 17:10:29
812597696,2021-03-31 18:24:57
812599770,2021-03-31 18:21:56
812612487,2021-03-31 18:27:41
812624821,2021-03-31 18:38:16
812631633,2021-03-31 20:55:27
812654379,2021-03-31 20:41:40
812683105,2021-03-31 21:37:32
812712421,2021-03-31 21:38:28
812733865,2021-03-31 23:04:32
812741501,2021-04-01 00:36:58
812756622,2021-04-01 01:49:12
812772983,2021-04-01 03:37:34
812783935,2021-04-01 03:05:36
812787472,2021-04-01 03:25:34
812799872,2021-04-01 05:36:59
812811488,2021-04-01 07:36:32
812846710,2021-04-01 13:45:31
812877692,2021-04-01 14:50:22
812903623,2021-04-01 15:59:41
812939314,2021-04-01 17:46:56
812960252,2021-04-01 19:17:10
813002469,2021-04-01 20:53:30
813016861,2021-04-01 21:36:00
813040761,2021-04-01 23:32:17
813048168,2021-04-01 23:37:01
810118735,2021-03-23 00:10:25
810149387,2021-03-23 04:43:13
810159890,2021-03-23 05:40:21
810181698,2021-03-23 09:40:47
810208557,2021-03-23 13:45:06
810247113,2021-03-23 15:41:32
810248276,2021-03-23 15:42:03
810268393,2021-03-23 17:16:35
810284604,2021-03-23 18:15:49
810290368,2021-03-23 16:55:10
810297166,2021-03-23 19:04:50
810326121,2021-03-23 20:50:55
810380630,2021-03-23 22:37:56
810388373,2021-03-23 23:12:20
810408162,2021-03-24 02:04:01
810439366,2021-03-24 03:27:02
810442018,2021-03-24 04:41:00
810442865,2021-03-24 04:35:35
810524718,2021-03-24 15:38:29
810528048,2021-03-24 15:52:51
810562079,2021-03-27 07:13:26
810576960,2021-03-24 18:23:37
810610000,2021-03-24 19:54:37
810611502,2021-03-24 19:44:50
810611819,2021-03-24 18:34:52
810618135,2021-03-24 20:17:08
810636239,2021-03-24 19:51:47
810668260,2021-03-25 16:41:24
810683620,2021-03-24 22:59:20
810735551,2021-03-25 20:43:21
810755030,2021-03-25 06:46:31
810761354,2021-03-25 07:48:50
810795364,2021-03-25 13:38:46
810816431,2021-03-26 15:39:21
810817938,2021-03-25 14:45:14
810823950,2021-03-25 14:36:49
810856548,2021-03-25 17:00:38
810935362,2021-03-25 21:23:17
810944783,2021-03-25 22:10:33
810946180,2021-03-25 22:51:07
810949480,2021-03-25 22:02:33
810961402,2021-03-25 21:21:50
810983290,2021-03-25 23:36:37
810983627,2021-03-25 23:06:51
811015355,2021-03-26 01:29:27
811022389,2021-03-26 03:51:12
811070117,2021-03-26 09:37:28
811081471,2021-03-26 10:41:13
811132386,2021-03-26 14:17:16
811133206,2021-03-26 15:39:54
811140004,2021-03-26 14:35:22
811140346,2021-03-26 15:40:54
811142166,2021-03-26 14:40:56
811148357,2021-03-26 16:03:59
811150249,2021-03-26 16:59:59
811152794,2021-03-26 15:18:38
811154209,2021-03-26 20:12:35
811158565,2021-03-26 17:14:32
811160135,2021-03-26 22:00:24
811167598,2021-03-26 16:53:16
811172996,2021-03-26 17:36:23
811177027,2021-03-26 16:15:42
811180036,2021-03-26 18:10:48
811181814,2021-03-26 18:02:33
811234538,2021-03-26 20:58:31
811239498,2021-03-26 20:51:10
811247974,2021-03-26 20:02:48
811252338,2021-03-26 21:43:30
811256474,2021-03-26 21:38:19
811283087,2021-03-26 23:50:49
811286629,2021-03-26 22:42:25
811288876,2021-03-26 22:53:16
811307774,2021-03-27 01:42:01
811311862,2021-03-27 01:39:44
811315164,2021-03-27 01:12:36
811331486,2021-03-28 03:58:02
811331859,2021-03-27 03:56:47
811335440,2021-03-27 04:39:30
811366271,2021-03-27 07:43:23
811379712,2021-03-27 11:45:29
811384745,2021-03-27 12:41:40
811452615,2021-03-27 17:43:29
811453833,2021-03-27 16:14:21
811485706,2021-03-27 19:38:12
811509098,2021-03-27 21:46:58
811510402,2021-03-27 21:57:26
811511446,2021-03-27 21:54:34
811512537,2021-03-27 21:47:52
811537635,2021-03-27 23:41:29
811540256,2021-03-27 23:49:19
811558801,2021-03-28 01:45:03
811578884,2021-03-28 04:00:22
811589987,2021-03-28 04:37:03
811620448,2021-03-28 09:38:13
811630009,2021-03-28 11:40:18
811645466,2021-03-28 13:41:29
811667062,2021-03-28 15:41:32
811743565,2021-03-28 20:43:01
811780326,2021-03-28 23:35:33
811807255,2021-03-29 01:24:51
811807797,2021-03-29 02:47:19
811830919,2021-03-29 04:48:53
811857104,2021-03-29 09:44:51
811864362,2021-03-29 09:56:04
